DateTime,AQI
2020-03-22,58.166666666666664
2020-03-23,43.958333333333336
2020-03-24,59.041666666666664
2020-03-25,43.708333333333336
2020-03-26,64.79166666666667
2020-03-27,83.95833333333333
2020-03-28,131.375
2020-03-29,90.73913043478261
2020-03-30,93.75
2020-03-31,53.541666666666664
2020-04-01,55.26086956521739
2020-04-02,54.291666666666664
2020-04-03,80.83333333333333
2020-04-04,66.20833333333333
2020-04-05,56.916666666666664
2020-04-06,59.458333333333336
2020-04-07,35.541666666666664
2020-04-08,50.041666666666664
2020-04-09,67.16666666666667
2020-04-10,82.875
2020-04-11,77.83333333333333
2020-04-12,64.375
2020-04-13,87.70833333333333
2020-04-14,73.16666666666667
2020-04-15,71.33333333333333
2020-04-16,66.1304347826087
2020-04-17,48.416666666666664
2020-04-18,45.708333333333336
2020-04-19,55.125
2020-04-20,56.625
2020-04-21,53.208333333333336
2020-04-22,18.041666666666668
2020-04-23,50.5
2020-04-24,57.375
2020-04-25,65.84210526315789
2020-04-26,58.291666666666664
2020-04-27,48.625
2020-04-28,37.333333333333336
2020-04-29,18.458333333333332
2020-04-30,32.04347826086956
2020-05-01,29.0
2020-05-02,29.541666666666668
2020-05-03,39.166666666666664
2020-05-04,47.458333333333336
2020-05-05,32.916666666666664
2020-05-06,23.333333333333332
2020-05-07,39.375
2020-05-08,46.083333333333336
2020-05-09,46.333333333333336
2020-05-10,29.125
2020-05-11,26.5
2020-05-12,32.291666666666664
2020-05-13,34.375
2020-05-14,44.391304347826086
2020-05-15,71.20833333333333
2020-05-16,72.66666666666667
2020-05-17,78.75
2020-05-18,105.91666666666667
2020-05-19,120.41666666666667
2020-05-20,51.791666666666664
2020-05-21,35.791666666666664
2020-05-22,47.291666666666664
2020-05-23,50.5
2020-05-24,34.375
2020-05-25,36.958333333333336
2020-05-26,33.25
2020-05-27,39.0
2020-05-28,55.95652173913044
2020-05-29,63.208333333333336
2020-05-30,54.458333333333336
2020-05-31,30.291666666666668
2020-06-01,35.25
2020-06-02,50.291666666666664
2020-06-03,33.708333333333336
2020-06-04,32.458333333333336
2020-06-05,24.347826086956523
2020-06-06,35.291666666666664
2020-06-07,35.083333333333336
